# month=2025-08
# elo_min=2500
# elo_max=5000
# games_seen=30128224
# games_used=39593
# games_skipped_short_plycount<35=137
# games_skipped_parse=0
# relevant_games=5067
# relevant_games_with_increment=5067
# relevant_games_without_increment=0
# pct_relevant_over_games_used=12.797717
# plies_total=136897
# errors_total=519
# errors_per_ply_pct_total=0.37911715
# can_win_total=19900
# can_win_pct_over_plies_total=14.53647633
# can_draw_total=98805
# can_draw_pct_over_plies_total=72.17470069
# missed_win_to_draw_total=222
# missed_win_to_draw_pct_over_can_win_total=1.11557789
# missed_win_to_loss_total=4
# missed_win_to_loss_pct_over_can_win_total=0.02010050
# missed_draw_total=293
# missed_draw_pct_over_can_draw_total=0.29654370
# time_loss_games_total=157
# time_draw_games_total=8
# pct_time_loss_over_relevant_games=3.098480
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	11	0.027783	140	12.727273	140	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KB	5	0.012628	17	3.400000	2	11.764706	15	88.235294	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KN	4	0.010103	149	37.250000	149	100.000000	0	0.000000	2	50.000000	2	1.342282	2	1.342282	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KP	5	0.012628	17	3.400000	17	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KQ	2	0.005051	51	25.500000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KR	3	0.007577	114	38.000000	2	1.754386	112	98.245614	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	38	0.095977	1017	26.763158	1017	100.000000	0	0.000000	1	2.631579	1	0.098328	1	0.098328	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KB	5	0.012628	49	9.800000	3	6.122449	46	93.877551	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KN	11	0.027783	214	19.454545	4	1.869159	210	98.130841	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KP	15	0.037885	57	3.800000	50	87.719298	7	12.280702	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KQ	3	0.007577	52	17.333333	1	1.923077	1	1.923077	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KR	24	0.060617	152	6.333333	12	7.894737	140	92.105263	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBP_K	186	0.469780	3026	16.268817	668	22.075347	2358	77.924653	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0.537634
KBP_KB	57	0.143965	765	13.421053	93	12.156863	672	87.843137	2	3.508772	2	0.261438	2	2.150538	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBP_KN	69	0.174273	583	8.449275	96	16.466552	487	83.533448	2	2.898551	2	0.343053	2	2.083333	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBP_KP	213	0.537974	1230	5.774648	557	45.284553	671	54.552846	3	1.408451	3	0.243902	3	0.538600	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBP_KQ	34	0.085874	121	3.558824	6	4.958678	13	10.743802	1	2.941176	1	0.826446	0	0.000000	0	0.000000	1	7.692308	1	2.941176	0	0.000000
KBP_KR	76	0.191953	481	6.328947	9	1.871102	468	97.297297	3	3.947368	3	0.623701	0	0.000000	0	0.000000	3	0.641026	0	0.000000	0	0.000000
KB_KBB	2	0.005051	16	8.000000	0	0.000000	16	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KBN	3	0.007577	49	16.333333	0	0.000000	49	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KBP	70	0.176799	783	11.185714	0	0.000000	706	90.166028	3	4.285714	3	0.383142	0	0.000000	0	0.000000	3	0.424929	0	0.000000	0	0.000000
