# month=2025-10
# elo_min=1700
# elo_max=2100
# increment=yes
# games_seen=29848781
# games_used=3825206
# games_skipped_short_plycount<35=23401
# games_skipped_parse=0
# relevant_games=220355
# relevant_games_with_increment=220355
# relevant_games_without_increment=0
# pct_relevant_over_games_used=5.760605
# plies_total=3350481
# errors_total=73817
# errors_per_ply_pct_total=2.20317620
# can_win_total=915746
# can_win_pct_over_plies_total=27.33177714
# can_draw_total=1633714
# can_draw_pct_over_plies_total=48.76058094
# missed_win_to_draw_total=32859
# missed_win_to_draw_pct_over_can_win_total=3.58822206
# missed_win_to_loss_total=1284
# missed_win_to_loss_pct_over_can_win_total=0.14021355
# missed_draw_total=39674
# missed_draw_pct_over_can_draw_total=2.42845443
# time_loss_games_total=14148
# time_draw_games_total=511
# pct_time_loss_over_relevant_games=6.420549
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	238	0.006222	5473	22.995798	5473	100.000000	0	0.000000	76	31.932773	81	1.479993	81	1.479993	0	0.000000	0	0.000000	0	0.000000	21	8.823529
KBB_KB	91	0.002379	1074	11.802198	40	3.724395	1034	96.275605	2	2.197802	2	0.186220	2	5.000000	0	0.000000	0	0.000000	2	2.197802	0	0.000000
KBB_KN	21	0.000549	187	8.904762	184	98.395722	3	1.604278	8	38.095238	9	4.812834	9	4.891304	0	0.000000	0	0.000000	3	14.285714	0	0.000000
KBB_KP	165	0.004313	626	3.793939	613	97.923323	13	2.076677	9	5.454545	10	1.597444	10	1.631321	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KQ	14	0.000366	55	3.928571	6	10.909091	9	16.363636	1	7.142857	1	1.818182	1	16.666667	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KR	33	0.000863	153	4.636364	10	6.535948	143	93.464052	1	3.030303	1	0.653595	1	10.000000	0	0.000000	0	0.000000	2	6.060606	0	0.000000
KBN_K	707	0.018483	19598	27.719943	19572	99.867333	26	0.132667	252	35.643564	261	1.331769	261	1.333538	0	0.000000	0	0.000000	0	0.000000	75	10.608204
KBN_KB	49	0.001281	341	6.959184	24	7.038123	317	92.961877	1	2.040816	2	0.586510	2	8.333333	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KN	102	0.002667	699	6.852941	61	8.726753	638	91.273247	9	8.823529	14	2.002861	14	22.950820	0	0.000000	0	0.000000	2	1.960784	0	0.000000
KBN_KP	444	0.011607	2028	4.567568	1944	95.857988	76	3.747535	58	13.063063	64	3.155819	57	2.932099	1	0.051440	6	7.894737	7	1.576577	0	0.000000
KBN_KQ	70	0.001830	263	3.757143	33	12.547529	17	6.463878	5	7.142857	5	1.901141	3	9.090909	1	3.030303	1	5.882353	11	15.714286	0	0.000000
KBN_KR	184	0.004810	608	3.304348	112	18.421053	495	81.414474	8	4.347826	11	1.809211	10	8.928571	0	0.000000	1	0.202020	4	2.173913	0	0.000000
KBP_K	6780	0.177245	45359	6.690118	31705	69.897925	13654	30.102075	243	3.584071	260	0.573205	260	0.820060	0	0.000000	0	0.000000	0	0.000000	47	0.693215
KBP_KB	1528	0.039946	8959	5.863220	2739	30.572609	6220	69.427391	191	12.500000	290	3.236968	290	10.587806	0	0.000000	0	0.000000	26	1.701571	0	0.000000
KBP_KN	1763	0.046089	8757	4.967102	1687	19.264588	7070	80.735412	175	9.926262	249	2.843440	248	14.700652	0	0.000000	1	0.014144	31	1.758366	0	0.000000
KBP_KP	9412	0.246052	38102	4.048236	30287	79.489266	7678	20.151173	567	6.024224	663	1.740066	616	2.033876	16	0.052828	31	0.403751	54	0.573736	0	0.000000
KBP_KQ	993	0.025959	4493	4.524673	257	5.720009	379	8.435344	34	3.423968	42	0.934787	2	0.778210	1	0.389105	39	10.290237	56	5.639476	0	0.000000
KBP_KR	2987	0.078087	22245	7.447272	875	3.933468	21182	95.221398	424	14.194844	508	2.283659	119	13.600000	2	0.228571	387	1.827023	105	3.515233	0	0.000000
KB_KBB	91	0.002379	1100	12.087912	0	0.000000	1098	99.818182	7	7.692308	7	0.636364	0	0.000000	0	0.000000	7	0.637523	1	1.098901	0	0.000000
KB_KBN	54	0.001412	352	6.518519	0	0.000000	349	99.147727	4	7.407407	5	1.420455	0	0.000000	0	0.000000	5	1.432665	2	3.703704	0	0.000000
KB_KBP	1789	0.046769	9517	5.319732	0	0.000000	7519	79.005989	267	14.924539	380	3.992855	0	0.000000	0	0.000000	380	5.053864	77	4.304080	0	0.000000
KB_KN	1436	0.037540	5289	3.683148	0	0.000000	5289	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	14	0.974930	0	0.000000
KB_KNN	22	0.000575	58	2.636364	0	0.000000	58	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KNP	2484	0.064938	16204	6.523349	0	0.000000	15147	93.476919	479	19.283414	630	3.887929	0	0.000000	0	0.000000	630	4.159239	147	5.917874	0	0.000000
KB_KP	5799	0.151600	19688	3.395068	1	0.005079	19586	99.481918	48	0.827729	48	0.243803	0	0.000000	0	0.000000	48	0.245073	31	0.534575	0	0.000000
KB_KPP	3865	0.101040	16133	4.174127	3	0.018595	12978	80.443811	393	10.168176	448	2.776917	1	33.333333	0	0.000000	447	3.444290	107	2.768435	0	0.000000
KB_KQ	1401	0.036625	3716	2.652391	0	0.000000	965	25.968784	9	0.642398	9	0.242196	0	0.000000	0	0.000000	9	0.932642	47	3.354747	0	0.000000
KB_KQB	78	0.002039	188	2.410256	0	0.000000	17	9.042553	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	7	8.974359	0	0.000000
KB_KQN	139	0.003634	313	2.251799	0	0.000000	32	10.223642	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	9	6.474820	0	0.000000
KB_KQP	798	0.020862	1755	2.199248	0	0.000000	202	11.509972	3	0.375940	3	0.170940	0	0.000000	0	0.000000	3	1.485149	40	5.012531	0	0.000000
KB_KQQ	81	0.002118	142	1.753086	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	4	4.938272	0	0.000000
KB_KQR	199	0.005202	306	1.537688	0	0.000000	7	2.287582	1	0.502513	1	0.326797	0	0.000000	0	0.000000	1	14.285714	6	3.015075	0	0.000000
KB_KR	1971	0.051527	16342	8.291223	0	0.000000	15493	94.804797	616	31.253171	872	5.335944	0	0.000000	0	0.000000	872	5.628348	112	5.682395	0	0.000000
KB_KRB	63	0.001647	512	8.126984	0	0.000000	19	3.710938	4	6.349206	4	0.781250	0	0.000000	0	0.000000	4	21.052632	8	12.698413	0	0.000000
KB_KRN	103	0.002693	801	7.776699	0	0.000000	41	5.118602	2	1.941748	2	0.249688	0	0.000000	0	0.000000	2	4.878049	10	9.708738	0	0.000000
KB_KRP	2388	0.062428	12622	5.285595	0	0.000000	2511	19.893836	218	9.128978	376	2.978926	0	0.000000	0	0.000000	376	14.974114	134	5.611390	0	0.000000
KB_KRR	36	0.000941	104	2.888889	0	0.000000	13	12.500000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KDN_KD	65	0.001699	481	7.400000	46	9.563410	435	90.436590	2	3.076923	2	0.415800	2	4.347826	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KDP_KD	2239	0.058533	14516	6.483251	660	4.546707	13856	95.453293	16	0.714605	18	0.124001	18	2.727273	0	0.000000	0	0.000000	12	0.535954	0	0.000000
KD_KD	947	0.024757	6349	6.704329	0	0.000000	6349	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	12	1.267159	0	0.000000
KD_KDN	70	0.001830	490	7.000000	0	0.000000	483	98.571429	11	15.714286	11	2.244898	0	0.000000	0	0.000000	11	2.277433	1	1.428571	0	0.000000
KD_KDP	2292	0.059918	14887	6.495201	0	0.000000	14847	99.731309	41	1.788831	45	0.302277	0	0.000000	0	0.000000	45	0.303092	10	0.436300	0	0.000000
KD_KQD	160	0.004183	293	1.831250	0	0.000000	102	34.812287	1	0.625000	1	0.341297	0	0.000000	0	0.000000	1	0.980392	4	2.500000	0	0.000000
KD_KRD	155	0.004052	1541	9.941935	0	0.000000	56	3.634004	1	0.645161	1	0.064893	0	0.000000	0	0.000000	1	1.785714	16	10.322581	0	0.000000
KNN_K	169	0.004418	4046	23.940828	0	0.000000	4046	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	8	4.733728
KNN_KB	11	0.000288	48	4.363636	0	0.000000	48	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KNN_KN	65	0.001699	285	4.384615	0	0.000000	285	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	4.615385	0	0.000000
KNN_KP	119	0.003111	697	5.857143	234	33.572453	463	66.427547	43	36.134454	73	10.473458	73	31.196581	0	0.000000	0	0.000000	4	3.361345	0	0.000000
KNN_KQ	12	0.000314	27	2.250000	1	3.703704	18	66.666667	2	16.666667	2	7.407407	0	0.000000	0	0.000000	2	11.111111	0	0.000000	0	0.000000
KNN_KR	69	0.001804	264	3.826087	0	0.000000	264	100.000000	1	1.449275	1	0.378788	0	0.000000	0	0.000000	1	0.378788	2	2.898551	0	0.000000
KNP_K	4702	0.122921	30511	6.488941	29710	97.374717	801	2.625283	266	5.657167	272	0.891482	272	0.915517	0	0.000000	0	0.000000	0	0.000000	32	0.680561
KNP_KB	2116	0.055317	15480	7.315690	2074	13.397933	13406	86.602067	225	10.633270	316	2.041344	316	15.236258	0	0.000000	0	0.000000	48	2.268431	0	0.000000
KNP_KN	3055	0.079865	14801	4.844845	3177	21.464766	11624	78.535234	335	10.965630	462	3.121411	462	14.542021	0	0.000000	0	0.000000	74	2.422259	0	0.000000
KNP_KP	6804	0.177873	25331	3.722957	21537	85.022305	3493	13.789428	622	9.141681	715	2.822628	592	2.748758	47	0.218229	76	2.175780	84	1.234568	0	0.000000
KNP_KQ	911	0.023816	4180	4.588364	221	5.287081	682	16.315789	68	7.464325	108	2.583732	8	3.619910	12	5.429864	88	12.903226	61	6.695939	0	0.000000
KNP_KR	2212	0.057827	11027	4.985081	753	6.828693	10056	91.194341	360	16.274864	440	3.990206	91	12.084993	1	0.132802	348	3.460621	88	3.978300	0	0.000000
KN_KB	1100	0.028757	4945	4.495455	0	0.000000	4945	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	6	0.545455	0	0.000000
KN_KBB	23	0.000601	195	8.478261	0	0.000000	18	9.230769	2	8.695652	2	1.025641	0	0.000000	0	0.000000	2	11.111111	0	0.000000	0	0.000000
KN_KBN	85	0.002222	695	8.176471	0	0.000000	687	98.848921	14	16.470588	20	2.877698	0	0.000000	0	0.000000	20	2.911208	4	4.705882	0	0.000000
KN_KBP	2008	0.052494	9461	4.711653	1	0.010570	8420	88.996935	218	10.856574	296	3.128633	1	100.000000	0	0.000000	295	3.503563	80	3.984064	0	0.000000
KN_KN	1813	0.047396	9409	5.189741	0	0.000000	9409	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	11	0.606729	1	0.055157
KN_KNN	49	0.001281	276	5.632653	0	0.000000	276	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	2.040816	0	0.000000
KN_KNP	3595	0.093982	16048	4.463978	0	0.000000	13954	86.951645	485	13.490960	631	3.931954	0	0.000000	0	0.000000	631	4.522001	111	3.087622	0	0.000000
KN_KP	5607	0.146580	24183	4.313002	29	0.119919	23517	97.245999	202	3.602640	221	0.913865	12	41.379310	0	0.000000	209	0.888719	81	1.444623	0	0.000000
KN_KPP	3932	0.102792	17544	4.461851	17	0.096899	14194	80.905153	535	13.606307	624	3.556772	8	47.058824	0	0.000000	616	4.339862	140	3.560529	0	0.000000
KN_KQ	1261	0.032966	9283	7.361618	0	0.000000	751	8.090057	33	2.616971	45	0.484757	0	0.000000	0	0.000000	45	5.992011	97	7.692308	0	0.000000
KN_KQB	109	0.002850	378	3.467890	0	0.000000	26	6.878307	1	0.917431	1	0.264550	0	0.000000	0	0.000000	1	3.846154	10	9.174312	0	0.000000
KN_KQN	190	0.004967	562	2.957895	0	0.000000	48	8.540925	3	1.578947	3	0.533808	0	0.000000	0	0.000000	3	6.250000	13	6.842105	0	0.000000
KN_KQP	978	0.025567	2684	2.744376	0	0.000000	211	7.861401	8	0.817996	8	0.298063	0	0.000000	0	0.000000	8	3.791469	45	4.601227	0	0.000000
KN_KQQ	72	0.001882	124	1.722222	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	4.166667	0	0.000000
KN_KQR	173	0.004523	332	1.919075	0	0.000000	6	1.807229	1	0.578035	1	0.301205	0	0.000000	0	0.000000	1	16.666667	11	6.358382	0	0.000000
KN_KR	2019	0.052781	23218	11.499752	0	0.000000	21942	94.504264	520	25.755324	1037	4.466362	0	0.000000	0	0.000000	1037	4.726096	109	5.398712	0	0.000000
KN_KRB	104	0.002719	760	7.307692	0	0.000000	46	6.052632	5	4.807692	5	0.657895	0	0.000000	0	0.000000	5	10.869565	12	11.538462	0	0.000000
KN_KRN	182	0.004758	1440	7.912088	0	0.000000	82	5.694444	8	4.395604	8	0.555556	0	0.000000	0	0.000000	8	9.756098	14	7.692308	0	0.000000
KN_KRP	2135	0.055814	11751	5.503981	0	0.000000	1298	11.045868	164	7.681499	214	1.821122	0	0.000000	0	0.000000	214	16.486903	140	6.557377	0	0.000000
KN_KRR	33	0.000863	72	2.181818	0	0.000000	14	19.444444	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	3.030303	0	0.000000
KPP_K	16809	0.439427	71411	4.248379	70501	98.725687	910	1.274313	365	2.171456	372	0.520928	372	0.527652	0	0.000000	0	0.000000	0	0.000000	47	0.279612
KPP_KB	4365	0.114112	16285	3.730813	4856	29.818852	11429	70.181148	304	6.964490	349	2.143076	346	7.125206	0	0.000000	3	0.026249	37	0.847652	0	0.000000
KPP_KN	4042	0.105668	17282	4.275606	4914	28.434209	12361	71.525286	361	8.931222	428	2.476565	418	8.506309	0	0.000000	10	0.080900	47	1.162791	0	0.000000
KPP_KP	40876	1.068596	109653	2.682577	84309	76.887089	18812	17.155937	3017	7.380859	3396	3.097042	2855	3.386353	86	0.102006	455	2.418669	123	0.300910	0	0.000000
KPP_KQ	7765	0.202996	29180	3.757888	625	2.141878	3262	11.178890	276	3.554411	378	1.295408	3	0.480000	8	1.280000	367	11.250766	206	2.652930	0	0.000000
KPP_KR	9602	0.251019	37301	3.884712	9115	24.436342	11212	30.058175	1271	13.236826	1651	4.426155	627	6.878771	64	0.702139	960	8.562255	240	2.499479	0	0.000000
KP_K	39479	1.032075	183627	4.651258	91375	49.761201	92252	50.238799	1826	4.625244	2131	1.160505	2131	2.332148	0	0.000000	0	0.000000	0	0.000000	191	0.483802
KP_KB	7680	0.200774	21281	2.770964	1203	5.652930	20078	94.347070	23	0.299479	23	0.108078	22	1.828761	0	0.000000	1	0.004981	29	0.377604	0	0.000000
KP_KBB	203	0.005307	661	3.256158	2	0.302572	57	8.623298	1	0.492611	2	0.302572	0	0.000000	0	0.000000	2	3.508772	3	1.477833	0	0.000000
KP_KBN	565	0.014770	2163	3.828319	25	1.155802	235	10.864540	23	4.070796	23	1.063338	2	8.000000	1	4.000000	20	8.510638	6	1.061947	0	0.000000
KP_KBP	12013	0.314048	39497	3.287855	711	1.800137	10607	26.855204	479	3.987347	579	1.465934	19	2.672293	9	1.265823	551	5.194683	309	2.572213	0	0.000000
KP_KN	6616	0.172958	24804	3.749093	1589	6.406225	23203	93.545396	115	1.738210	129	0.520077	112	7.048458	0	0.000000	17	0.073266	33	0.498791	0	0.000000
KP_KNN	156	0.004078	738	4.730769	2	0.271003	550	74.525745	21	13.461538	49	6.639566	0	0.000000	0	0.000000	49	8.909091	3	1.923077	0	0.000000
KP_KNP	8499	0.222184	26830	3.156842	827	3.082370	6142	22.892285	366	4.306389	428	1.595229	52	6.287787	20	2.418380	356	5.796158	189	2.223791	0	0.000000
KP_KP	31734	0.829602	151869	4.785687	38749	25.514753	89878	59.181268	2388	7.525052	2966	1.952999	824	2.126506	77	0.198715	2065	2.297559	289	0.910695	0	0.000000
KP_KPP	45971	1.201791	116776	2.540210	11925	10.211859	30100	25.775844	2200	4.785626	2521	2.158834	205	1.719078	70	0.587002	2246	7.461794	663	1.442214	0	0.000000
KP_KQ	16658	0.435480	80093	4.808080	992	1.238560	15132	18.893037	537	3.223676	738	0.921429	3	0.302419	5	0.504032	730	4.824214	489	2.935526	1	0.006003
KP_KQB	1230	0.032155	3298	2.681301	0	0.000000	60	1.819284	2	0.162602	2	0.060643	0	0.000000	0	0.000000	2	3.333333	42	3.414634	0	0.000000
KP_KQN	1083	0.028312	3259	3.009234	3	0.092053	155	4.756060	8	0.738689	11	0.337527	0	0.000000	0	0.000000	11	7.096774	28	2.585411	0	0.000000
KP_KQP	14264	0.372895	33159	2.324663	343	1.034410	1558	4.698574	27	0.189288	30	0.090473	1	0.291545	5	1.457726	24	1.540436	316	2.215367	0	0.000000
KP_KQQ	946	0.024731	2328	2.460888	0	0.000000	1	0.042955	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	19	2.008457	0	0.000000
KP_KQR	1481	0.038717	3214	2.170155	0	0.000000	21	0.653391	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	67	4.523970	0	0.000000
KP_KR	16784	0.438774	48063	2.863620	2283	4.750016	27948	58.148680	809	4.820067	953	1.982814	68	2.978537	10	0.438020	875	3.130814	338	2.013823	1	0.005958
KP_KRB	799	0.020888	1916	2.397997	7	0.365344	197	10.281837	2	0.250313	2	0.104384	0	0.000000	0	0.000000	2	1.015228	44	5.506884	0	0.000000
KP_KRN	735	0.019215	1753	2.385034	3	0.171135	187	10.667427	6	0.816327	7	0.399315	0	0.000000	0	0.000000	7	3.743316	14	1.904762	0	0.000000
KP_KRP	13844	0.361915	26013	1.879009	768	2.952370	3410	13.108830	42	0.303381	42	0.161458	3	0.390625	9	1.171875	30	0.879765	314	2.268131	0	0.000000
KP_KRR	364	0.009516	688	1.890110	2	0.290698	21	3.052326	2	0.549451	2	0.290698	0	0.000000	0	0.000000	2	9.523810	16	4.395604	0	0.000000
KQB_KB	55	0.001438	169	3.072727	169	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	1.818182
KQB_KN	84	0.002196	357	4.250000	356	99.719888	1	0.280112	3	3.571429	3	0.840336	3	0.842697	0	0.000000	0	0.000000	2	2.380952	0	0.000000
KQB_KP	1035	0.027057	3134	3.028019	3134	100.000000	0	0.000000	23	2.222222	24	0.765795	24	0.765795	0	0.000000	0	0.000000	5	0.483092	0	0.000000
KQB_KQ	199	0.005202	989	4.969849	172	17.391304	812	82.103134	22	11.055276	26	2.628918	17	9.883721	1	0.581395	8	0.985222	9	4.522613	0	0.000000
KQB_KR	160	0.004183	758	4.737500	753	99.340369	5	0.659631	9	5.625000	9	1.187335	9	1.195219	0	0.000000	0	0.000000	3	1.875000	0	0.000000
KQD_KD	56	0.001464	199	3.553571	198	99.497487	1	0.502513	1	1.785714	1	0.502513	1	0.505051	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KQN_KB	84	0.002196	270	3.214286	269	99.629630	1	0.370370	3	3.571429	3	1.111111	3	1.115242	0	0.000000	0	0.000000	1	1.190476	0	0.000000
KQN_KN	160	0.004183	525	3.281250	513	97.714286	12	2.285714	2	1.250000	2	0.380952	2	0.389864	0	0.000000	0	0.000000	3	1.875000	0	0.000000
KQN_KP	813	0.021254	2970	3.653137	2940	98.989899	30	1.010101	21	2.583026	25	0.841751	25	0.850340	0	0.000000	0	0.000000	4	0.492005	0	0.000000
KQN_KQ	266	0.006954	1750	6.578947	298	17.028571	1449	82.800000	59	22.180451	80	4.571429	71	23.825503	2	0.671141	7	0.483092	18	6.766917	0	0.000000
KQN_KR	140	0.003660	698	4.985714	692	99.140401	6	0.859599	10	7.142857	10	1.432665	10	1.445087	0	0.000000	0	0.000000	2	1.428571	0	0.000000
KQP_KB	505	0.013202	1518	3.005941	1517	99.934124	1	0.065876	6	1.188119	6	0.395257	6	0.395517	0	0.000000	0	0.000000	2	0.396040	0	0.000000
KQP_KN	744	0.019450	2441	3.280914	2413	98.852929	28	1.147071	25	3.360215	25	1.024170	25	1.036055	0	0.000000	0	0.000000	12	1.612903	0	0.000000
KQP_KP	9694	0.253424	28274	2.916649	28274	100.000000	0	0.000000	73	0.753043	76	0.268798	69	0.244040	7	0.024758	0	0.000000	23	0.237260	0	0.000000
KQP_KQ	5879	0.153691	36761	6.252934	14055	38.233454	22614	61.516281	1331	22.639905	2217	6.030848	1871	13.311989	77	0.547848	269	1.189529	120	2.041163	0	0.000000
KQP_KR	1840	0.048102	7184	3.904348	7075	98.482739	99	1.378062	59	3.206522	61	0.849109	43	0.607774	17	0.240283	1	1.010101	19	1.032609	0	0.000000
KQQ_KB	46	0.001203	113	2.456522	113	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KQQ_KN	54	0.001412	113	2.092593	113	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KQQ_KP	835	0.021829	2243	2.686228	2243	100.000000	0	0.000000	1	0.119760	1	0.044583	1	0.044583	0	0.000000	0	0.000000	2	0.239521	0	0.000000
KQQ_KQ	173	0.004523	547	3.161850	537	98.171846	10	1.828154	4	2.312139	5	0.914077	4	0.744879	1	0.186220	0	0.000000	0	0.000000	0	0.000000
KQQ_KR	127	0.003320	330	2.598425	330	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	1.574803	0	0.000000
KQR_KB	83	0.002170	207	2.493976	207	100.000000	0	0.000000	2	2.409639	2	0.966184	2	0.966184	0	0.000000	0	0.000000	0	0.000000	0	0.000000
