# month=2025-12
# elo_min=2500
# elo_max=5000
# increment=yes
# game_type=blitz_standard
# games_seen=30508213
# games_used=46075
# games_skipped_short_plycount<35=234
# games_skipped_parse=0
# relevant_games=6400
# relevant_games_with_increment=6400
# relevant_games_without_increment=0
# pct_relevant_over_games_used=13.890396
# plies_total=180898
# errors_total=775
# errors_per_ply_pct_total=0.42841822
# can_win_total=26097
# can_win_pct_over_plies_total=14.42636182
# can_draw_total=130760
# can_draw_pct_over_plies_total=72.28382846
# missed_win_to_draw_total=354
# missed_win_to_draw_pct_over_can_win_total=1.35647776
# missed_win_to_loss_total=8
# missed_win_to_loss_pct_over_can_win_total=0.03065486
# missed_draw_total=413
# missed_draw_pct_over_can_draw_total=0.31584582
# time_loss_games_total=237
# time_draw_games_total=23
# pct_time_loss_over_relevant_games=3.703125
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	14	0.030385	235	16.785714	235	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KB	11	0.023874	92	8.363636	5	5.434783	87	94.565217	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KN	3	0.006511	82	27.333333	82	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KP	6	0.013022	37	6.166667	37	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KR	2	0.004341	81	40.500000	0	0.000000	81	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	56	0.121541	1241	22.160714	1239	99.838840	2	0.161160	2	3.571429	3	0.241741	3	0.242131	0	0.000000	0	0.000000	0	0.000000	2	3.571429
KBN_KB	6	0.013022	49	8.166667	1	2.040816	48	97.959184	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KN	15	0.032556	207	13.800000	14	6.763285	193	93.236715	1	6.666667	2	0.966184	2	14.285714	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KP	32	0.069452	130	4.062500	124	95.384615	6	4.615385	1	3.125000	1	0.769231	1	0.806452	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KQ	3	0.006511	15	5.000000	1	6.666667	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KR	17	0.036896	129	7.588235	11	8.527132	118	91.472868	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
