# month=2025-02
# elo_min=1700
# elo_max=2100
# increment=no
# game_type=blitz_standard
# games_seen=28766231
# games_used=10371713
# games_skipped_short_plycount<35=103162
# games_skipped_parse=0
# relevant_games=634131
# relevant_games_with_increment=0
# relevant_games_without_increment=634131
# pct_relevant_over_games_used=6.114043
# plies_total=8476589
# errors_total=250887
# errors_per_ply_pct_total=2.95976365
# can_win_total=2715716
# can_win_pct_over_plies_total=32.03783975
# can_draw_total=3401752
# can_draw_pct_over_plies_total=40.13114237
# missed_win_to_draw_total=116313
# missed_win_to_draw_pct_over_can_win_total=4.28295890
# missed_win_to_loss_total=9302
# missed_win_to_loss_pct_over_can_win_total=0.34252477
# missed_draw_total=125272
# missed_draw_pct_over_can_draw_total=3.68257298
# time_loss_games_total=141673
# time_draw_games_total=17139
# pct_time_loss_over_relevant_games=22.341283
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	429	0.004136	6175	14.393939	6175	100.000000	0	0.000000	122	28.438228	136	2.202429	136	2.202429	0	0.000000	0	0.000000	0	0.000000	126	29.370629
KBB_KB	157	0.001514	786	5.006369	96	12.213740	690	87.786260	11	7.006369	14	1.781170	14	14.583333	0	0.000000	0	0.000000	13	8.280255	0	0.000000
KBB_KN	32	0.000309	195	6.093750	193	98.974359	2	1.025641	15	46.875000	21	10.769231	21	10.880829	0	0.000000	0	0.000000	2	6.250000	0	0.000000
KBB_KP	315	0.003037	1085	3.444444	1075	99.078341	10	0.921659	43	13.650794	49	4.516129	46	4.279070	3	0.279070	0	0.000000	16	5.079365	0	0.000000
KBB_KQ	28	0.000270	34	1.214286	16	47.058824	6	17.647059	2	7.142857	2	5.882353	0	0.000000	1	6.250000	1	16.666667	5	17.857143	0	0.000000
KBB_KR	57	0.000550	191	3.350877	21	10.994764	170	89.005236	5	8.771930	5	2.617801	5	23.809524	0	0.000000	0	0.000000	7	12.280702	0	0.000000
KBN_K	1264	0.012187	19469	15.402690	19426	99.779136	43	0.220864	446	35.284810	545	2.799322	545	2.805518	0	0.000000	0	0.000000	0	0.000000	420	33.227848
KBN_KB	104	0.001003	547	5.259615	54	9.872029	493	90.127971	8	7.692308	9	1.645338	9	16.666667	0	0.000000	0	0.000000	8	7.692308	0	0.000000
KBN_KN	260	0.002507	1296	4.984615	203	15.663580	1093	84.336420	43	16.538462	55	4.243827	55	27.093596	0	0.000000	0	0.000000	22	8.461538	0	0.000000
KBN_KP	998	0.009622	4055	4.063126	3885	95.807645	156	3.847102	208	20.841683	240	5.918619	224	5.765766	10	0.257400	6	3.846154	66	6.613226	0	0.000000
KBN_KQ	107	0.001032	350	3.271028	50	14.285714	33	9.428571	11	10.280374	15	4.285714	0	0.000000	6	12.000000	9	27.272727	13	12.149533	0	0.000000
KBN_KR	327	0.003153	1466	4.483180	198	13.506139	1268	86.493861	33	10.091743	48	3.274216	44	22.222222	0	0.000000	4	0.315457	45	13.761468	0	0.000000
KBP_K	22615	0.218045	139169	6.153836	114811	82.497539	24358	17.502461	1752	7.747071	1906	1.369558	1906	1.660120	0	0.000000	0	0.000000	0	0.000000	2241	9.909352
KBP_KB	3148	0.030352	15390	4.888818	4878	31.695906	10511	68.297596	456	14.485388	604	3.924626	604	12.382124	0	0.000000	0	0.000000	209	6.639136	0	0.000000
KBP_KN	3980	0.038374	17346	4.358291	3518	20.281333	13828	79.718667	463	11.633166	598	3.447481	597	16.969869	0	0.000000	1	0.007232	416	10.452261	0	0.000000
KBP_KP	26530	0.255792	101848	3.838975	85622	84.068416	15848	15.560443	2641	9.954768	3065	3.009387	2732	3.190769	175	0.204387	158	0.996971	1508	5.684131	0	0.000000
KBP_KQ	3012	0.029041	11843	3.931939	903	7.624757	958	8.089167	181	6.009296	241	2.034957	12	1.328904	70	7.751938	159	16.597077	444	14.741036	0	0.000000
KBP_KR	6953	0.067038	38307	5.509420	2527	6.596706	35411	92.440024	1278	18.380555	1579	4.121962	443	17.530669	13	0.514444	1123	3.171331	1154	16.597152	0	0.000000
KB_KBB	142	0.001369	787	5.542254	0	0.000000	786	99.872935	28	19.718310	33	4.193139	0	0.000000	0	0.000000	33	4.198473	17	11.971831	0	0.000000
KB_KBN	94	0.000906	547	5.819149	0	0.000000	543	99.268739	22	23.404255	24	4.387569	0	0.000000	0	0.000000	24	4.419890	11	11.702128	0	0.000000
KB_KBP	3487	0.033620	16151	4.631775	1	0.006192	12841	79.505913	663	19.013479	876	5.423813	0	0.000000	0	0.000000	876	6.821899	277	7.943791	0	0.000000
KB_KN	2555	0.024634	15874	6.212916	0	0.000000	15874	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	306	11.976517	0	0.000000
KB_KNN	46	0.000444	282	6.130435	0	0.000000	281	99.645390	1	2.173913	5	1.773050	0	0.000000	0	0.000000	5	1.779359	7	15.217391	0	0.000000
KB_KNP	4744	0.045740	23569	4.968170	0	0.000000	21472	91.102720	1127	23.756324	1455	6.173363	0	0.000000	0	0.000000	1455	6.776267	570	12.015177	0	0.000000
KB_KP	12989	0.125235	65100	5.011933	3	0.004608	64741	99.448541	569	4.380630	635	0.975422	0	0.000000	0	0.000000	635	0.980831	1168	8.992224	0	0.000000
KB_KPP	9496	0.091557	37644	3.964195	3	0.007969	29668	78.812028	1333	14.037489	1532	4.069706	2	66.666667	0	0.000000	1530	5.157072	983	10.351727	0	0.000000
KB_KQ	3463	0.033389	10431	3.012128	0	0.000000	2028	19.442048	182	5.255559	223	2.137858	0	0.000000	0	0.000000	223	10.996055	379	10.944268	0	0.000000
KB_KQB	345	0.003326	1039	3.011594	0	0.000000	78	7.507218	13	3.768116	15	1.443696	0	0.000000	0	0.000000	15	19.230769	41	11.884058	0	0.000000
KB_KQN	421	0.004059	1227	2.914489	0	0.000000	91	7.416463	8	1.900238	8	0.651997	0	0.000000	0	0.000000	8	8.791209	41	9.738717	0	0.000000
KB_KQP	2997	0.028896	7476	2.494494	0	0.000000	596	7.972178	39	1.301301	45	0.601926	0	0.000000	0	0.000000	45	7.550336	319	10.643977	0	0.000000
KB_KQQ	424	0.004088	886	2.089623	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	44	10.377358	0	0.000000
KB_KQR	682	0.006576	1263	1.851906	0	0.000000	24	1.900238	5	0.733138	5	0.395883	0	0.000000	0	0.000000	5	20.833333	56	8.211144	0	0.000000
KB_KR	3787	0.036513	20472	5.405862	0	0.000000	19531	95.403478	1119	29.548455	1595	7.791129	0	0.000000	0	0.000000	1595	8.166505	699	18.457882	0	0.000000
KB_KRB	162	0.001562	741	4.574074	0	0.000000	65	8.771930	12	7.407407	16	2.159244	0	0.000000	0	0.000000	16	24.615385	23	14.197531	0	0.000000
KB_KRN	285	0.002748	1277	4.480702	0	0.000000	133	10.415035	24	8.421053	32	2.505873	0	0.000000	0	0.000000	32	24.060150	40	14.035088	0	0.000000
KB_KRP	5680	0.054764	23224	4.088732	0	0.000000	3863	16.633655	551	9.700704	842	3.625560	0	0.000000	0	0.000000	842	21.796531	743	13.080986	0	0.000000
KB_KRR	86	0.000829	155	1.802326	0	0.000000	27	17.419355	1	1.162791	1	0.645161	0	0.000000	0	0.000000	1	3.703704	13	15.116279	0	0.000000
KDN_KD	139	0.001340	850	6.115108	87	10.235294	763	89.764706	23	16.546763	32	3.764706	32	36.781609	0	0.000000	0	0.000000	13	9.352518	0	0.000000
KDP_KD	5276	0.050869	43961	8.332259	1983	4.510816	41978	95.489184	232	4.397271	288	0.655126	288	14.523449	0	0.000000	0	0.000000	517	9.799090	0	0.000000
KD_KD	1620	0.015619	21764	13.434568	0	0.000000	21764	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	332	20.493827	0	0.000000
KD_KDN	149	0.001437	863	5.791946	0	0.000000	859	99.536501	33	22.147651	44	5.098494	0	0.000000	0	0.000000	44	5.122235	24	16.107383	0	0.000000
KD_KDP	4978	0.047996	43926	8.824026	0	0.000000	43814	99.745026	439	8.818803	526	1.197468	0	0.000000	0	0.000000	526	1.200530	645	12.957011	0	0.000000
KD_KQD	442	0.004262	1092	2.470588	0	0.000000	200	18.315018	22	4.977376	22	2.014652	0	0.000000	0	0.000000	22	11.000000	44	9.954751	0	0.000000
KD_KRD	401	0.003866	2218	5.531172	0	0.000000	207	9.332732	35	8.728180	48	2.164112	0	0.000000	0	0.000000	48	23.188406	74	18.453865	0	0.000000
KNN_K	376	0.003625	5872	15.617021	1	0.017030	5871	99.982970	1	0.265957	1	0.017030	1	100.000000	0	0.000000	0	0.000000	0	0.000000	109	28.989362
KNN_KB	45	0.000434	279	6.200000	6	2.150538	273	97.849462	1	2.222222	5	1.792115	5	83.333333	0	0.000000	0	0.000000	5	11.111111	0	0.000000
KNN_KN	125	0.001205	633	5.064000	0	0.000000	633	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	12	9.600000	0	0.000000
KNN_KP	304	0.002931	1414	4.651316	517	36.562942	894	63.224894	102	33.552632	153	10.820368	149	28.820116	0	0.000000	4	0.447427	21	6.907895	0	0.000000
KNN_KQ	44	0.000424	250	5.681818	0	0.000000	152	60.800000	17	38.636364	39	15.600000	0	0.000000	0	0.000000	39	25.657895	7	15.909091	0	0.000000
KNN_KR	141	0.001359	728	5.163121	0	0.000000	728	100.000000	2	1.418440	2	0.274725	0	0.000000	0	0.000000	2	0.274725	20	14.184397	0	0.000000
KNP_K	15268	0.147208	89638	5.870972	87742	97.884826	1896	2.115174	1572	10.296044	1666	1.858587	1666	1.898749	0	0.000000	0	0.000000	0	0.000000	1312	8.593136
KNP_KB	4181	0.040312	22523	5.386989	4161	18.474448	18362	81.525552	597	14.278881	779	3.458687	779	18.721461	0	0.000000	0	0.000000	315	7.534083	0	0.000000
KNP_KN	6747	0.065052	29512	4.374092	6619	22.428165	22891	77.565058	933	13.828368	1242	4.208458	1241	18.749056	0	0.000000	1	0.004369	566	8.388914	0	0.000000
KNP_KP	18198	0.175458	63918	3.512364	55240	86.423230	7750	12.124910	2547	13.996044	2998	4.690385	2516	4.554671	187	0.338523	295	3.806452	829	4.555446	1	0.005495
KNP_KQ	2491	0.024017	8821	3.541148	593	6.722594	1067	12.096134	243	9.755118	315	3.571024	19	3.204047	100	16.863406	196	18.369260	348	13.970293	0	0.000000
KNP_KR	4885	0.047099	19962	4.086387	1884	9.437932	17685	88.593327	1040	21.289662	1270	6.362088	385	20.435244	19	1.008493	866	4.896805	595	12.180143	0	0.000000
KN_KB	2211	0.021318	15512	7.015830	0	0.000000	15512	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	253	11.442786	0	0.000000
KN_KBB	31	0.000299	198	6.387097	0	0.000000	22	11.111111	6	19.354839	9	4.545455	0	0.000000	0	0.000000	9	40.909091	6	19.354839	0	0.000000
KN_KBN	223	0.002150	1292	5.793722	0	0.000000	1249	96.671827	60	26.905830	74	5.727554	0	0.000000	0	0.000000	74	5.924740	27	12.107623	0	0.000000
KN_KBP	4091	0.039444	18205	4.450012	1	0.005493	16278	89.414996	628	15.350770	794	4.361439	0	0.000000	0	0.000000	794	4.877749	348	8.506478	0	0.000000
KN_KN	3364	0.032434	32224	9.579073	3	0.009310	32221	99.990690	2	0.059453	2	0.006207	0	0.000000	0	0.000000	2	0.006207	652	19.381688	0	0.000000
KN_KNN	123	0.001186	635	5.162602	0	0.000000	635	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	18	14.634146	0	0.000000
KN_KNP	7523	0.072534	31428	4.177589	3	0.009546	27526	87.584320	1344	17.865213	1755	5.584192	1	33.333333	0	0.000000	1754	6.372157	606	8.055297	0	0.000000
KN_KP	12910	0.124473	71011	5.500465	75	0.105617	68892	97.015955	1086	8.412084	1215	1.711003	29	38.666667	0	0.000000	1186	1.721535	1089	8.435321	0	0.000000
KN_KPP	10161	0.097968	42062	4.139553	34	0.080833	34021	80.882982	1714	16.868418	2067	4.914174	21	61.764706	0	0.000000	2046	6.013933	885	8.709773	0	0.000000
KN_KQ	3504	0.033784	15350	4.380708	0	0.000000	1853	12.071661	341	9.731735	431	2.807818	0	0.000000	0	0.000000	431	23.259579	540	15.410959	0	0.000000
KN_KQB	404	0.003895	994	2.460396	0	0.000000	93	9.356137	12	2.970297	12	1.207243	0	0.000000	0	0.000000	12	12.903226	49	12.128713	0	0.000000
KN_KQN	687	0.006624	1931	2.810771	0	0.000000	205	10.616261	30	4.366812	39	2.019679	0	0.000000	0	0.000000	39	19.024390	96	13.973799	0	0.000000
KN_KQP	3264	0.031470	8551	2.619792	1	0.011695	677	7.917203	75	2.297794	80	0.935563	0	0.000000	0	0.000000	80	11.816839	288	8.823529	0	0.000000
KN_KQQ	310	0.002989	664	2.141935	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	44	14.193548	0	0.000000
KN_KQR	562	0.005419	1220	2.170819	0	0.000000	19	1.557377	4	0.711744	4	0.327869	0	0.000000	0	0.000000	4	21.052632	73	12.989324	0	0.000000
KN_KR	3903	0.037631	26006	6.663080	0	0.000000	24131	92.790125	1189	30.463746	1932	7.429055	0	0.000000	0	0.000000	1932	8.006299	745	19.087881	0	0.000000
KN_KRB	270	0.002603	1319	4.885185	0	0.000000	150	11.372252	28	10.370370	35	2.653525	0	0.000000	0	0.000000	35	23.333333	40	14.814815	0	0.000000
KN_KRN	479	0.004618	2329	4.862213	0	0.000000	266	11.421211	31	6.471816	34	1.459854	0	0.000000	0	0.000000	34	12.781955	73	15.240084	0	0.000000
KN_KRP	5085	0.049028	21812	4.289479	0	0.000000	3370	15.450211	530	10.422812	666	3.053365	0	0.000000	0	0.000000	666	19.762611	629	12.369715	0	0.000000
KN_KRR	99	0.000955	244	2.464646	0	0.000000	35	14.344262	4	4.040404	4	1.639344	0	0.000000	0	0.000000	4	11.428571	8	8.080808	0	0.000000
KPP_K	72316	0.697243	320506	4.432021	317551	99.078020	2955	0.921980	3082	4.261851	3217	1.003725	3217	1.013066	0	0.000000	0	0.000000	0	0.000000	4254	5.882516
KPP_KB	10755	0.103696	38492	3.578987	12329	32.030032	26163	67.969968	945	8.786611	1092	2.836953	1089	8.832833	0	0.000000	3	0.011467	643	5.978615	0	0.000000
KPP_KN	10618	0.102375	41860	3.942362	12228	29.211658	29620	70.759675	1148	10.811829	1422	3.397038	1401	11.457311	1	0.008178	20	0.067522	773	7.280090	0	0.000000
KPP_KP	121774	1.174097	318216	2.613169	253096	79.535913	45950	14.439877	11069	9.089789	12884	4.048822	10859	4.290467	609	0.240620	1416	3.081610	2923	2.400348	0	0.000000
KPP_KQ	25381	0.244714	93985	3.702967	1998	2.125871	8517	9.062084	1007	3.967535	1342	1.427887	35	1.751752	123	6.156156	1184	13.901609	2101	8.277846	0	0.000000
KPP_KR	27722	0.267285	96537	3.482325	22882	23.702829	26203	27.142961	3728	13.447803	4725	4.894496	1605	7.014247	327	1.429071	2793	10.659085	2279	8.220908	0	0.000000
KP_K	116254	1.120876	519022	4.464552	320451	61.741313	198571	38.258687	10087	8.676691	13137	2.531107	13137	4.099535	0	0.000000	0	0.000000	0	0.000000	7373	6.342147
KP_KB	16455	0.158653	68656	4.172349	3418	4.978443	65238	95.021557	231	1.403829	266	0.387439	263	7.694558	0	0.000000	3	0.004599	1314	7.985415	0	0.000000
KP_KBB	376	0.003625	1141	3.034574	4	0.350570	98	8.588957	16	4.255319	19	1.665206	0	0.000000	1	25.000000	18	18.367347	32	8.510638	0	0.000000
KP_KBN	1202	0.011589	4276	3.557404	58	1.356408	513	11.997194	59	4.908486	72	1.683817	4	6.896552	1	1.724138	67	13.060429	84	6.988353	0	0.000000
KP_KBP	31702	0.305658	104138	3.284903	1945	1.867714	23264	22.339588	1823	5.750426	2225	2.136588	95	4.884319	80	4.113111	2050	8.811898	2150	6.781907	0	0.000000
KP_KN	15079	0.145386	73181	4.853173	4820	6.586409	68324	93.363031	445	2.951124	512	0.699635	475	9.854772	0	0.000000	37	0.054154	1607	10.657205	0	0.000000
KP_KNN	368	0.003548	1479	4.019022	10	0.676133	1041	70.385396	46	12.500000	80	5.409060	1	10.000000	0	0.000000	79	7.588857	29	7.880435	0	0.000000
KP_KNP	21621	0.208461	66232	3.063318	2339	3.531526	14100	21.288803	1194	5.522409	1452	2.192294	112	4.788371	81	3.463018	1259	8.929078	1370	6.336432	0	0.000000
KP_KP	81161	0.782523	379318	4.673649	103964	27.408138	214095	56.442088	8138	10.026983	10361	2.731481	2855	2.746143	395	0.379939	7111	3.321423	4379	5.395449	0	0.000000
KP_KPP	131536	1.268219	327865	2.492588	34536	10.533604	76177	23.234258	7674	5.834144	9191	2.803288	666	1.928423	381	1.103197	8144	10.690891	4724	3.591412	1	0.000760
KP_KQ	53237	0.513290	224853	4.223623	2547	1.132740	31721	14.107439	2085	3.916449	2804	1.247037	18	0.706714	131	5.143306	2655	8.369850	5410	10.162105	0	0.000000
KP_KQB	6051	0.058341	16234	2.682862	11	0.067759	286	1.761735	40	0.661048	41	0.252556	1	9.090909	2	18.181818	38	13.286713	583	9.634771	0	0.000000
KP_KQN	4615	0.044496	13461	2.916793	18	0.133720	552	4.100735	49	1.061755	54	0.401159	1	5.555556	1	5.555556	52	9.420290	396	8.580715	0	0.000000
KP_KQP	61599	0.593913	151732	2.463222	923	0.608309	4420	2.913031	247	0.400981	261	0.172014	9	0.975081	45	4.875406	207	4.683258	3717	6.034189	0	0.000000
KP_KQQ	6877	0.066305	16525	2.402937	0	0.000000	10	0.060514	1	0.014541	1	0.006051	0	0.000000	0	0.000000	1	10.000000	552	8.026756	0	0.000000
KP_KQR	7945	0.076603	19250	2.422907	5	0.025974	103	0.535065	13	0.163625	14	0.072727	0	0.000000	1	20.000000	13	12.621359	773	9.729390	0	0.000000
KP_KR	41953	0.404494	121826	2.903869	5719	4.694400	55912	45.894965	2690	6.411937	3217	2.640651	314	5.490470	90	1.573702	2813	5.031120	3802	9.062522	0	0.000000
KP_KRB	3200	0.030853	8441	2.637812	20	0.236939	540	6.397346	48	1.500000	50	0.592347	4	20.000000	0	0.000000	46	8.518519	254	7.937500	0	0.000000
KP_KRN	2493	0.024037	6588	2.642599	27	0.409836	516	7.832423	44	1.764942	48	0.728597	1	3.703704	0	0.000000	47	9.108527	206	8.263137	0	0.000000
KP_KRP	48604	0.468621	107930	2.220599	2024	1.875290	7878	7.299175	307	0.631635	317	0.293709	26	1.284585	72	3.557312	219	2.779893	3113	6.404823	0	0.000000
KP_KRR	1528	0.014732	3233	2.115838	4	0.123724	49	1.515620	7	0.458115	7	0.216517	0	0.000000	0	0.000000	7	14.285714	110	7.198953	0	0.000000
KQB_KB	281	0.002709	945	3.362989	945	100.000000	0	0.000000	21	7.473310	24	2.539683	24	2.539683	0	0.000000	0	0.000000	0	0.000000	32	11.387900
KQB_KN	311	0.002999	927	2.980707	923	99.568501	4	0.431499	27	8.681672	29	3.128371	29	3.141928	0	0.000000	0	0.000000	30	9.646302	0	0.000000
KQB_KP	5353	0.051612	15508	2.897067	15508	100.000000	0	0.000000	299	5.585653	308	1.986072	301	1.940934	7	0.045138	0	0.000000	316	5.903232	0	0.000000
KQB_KQ	653	0.006296	1726	2.643185	545	31.575898	1175	68.076477	98	15.007657	120	6.952491	75	13.761468	13	2.385321	32	2.723404	84	12.863706	0	0.000000
KQB_KR	461	0.004445	1568	3.401302	1545	98.533163	23	1.466837	69	14.967462	74	4.719388	74	4.789644	0	0.000000	0	0.000000	98	21.258134	0	0.000000
KQD_KD	318	0.003066	977	3.072327	977	100.000000	0	0.000000	26	8.176101	26	2.661208	26	2.661208	0	0.000000	0	0.000000	41	12.893082	0	0.000000
KQN_KB	312	0.003008	1105	3.541667	1104	99.909502	1	0.090498	22	7.051282	24	2.171946	24	2.173913	0	0.000000	0	0.000000	35	11.217949	0	0.000000
KQN_KN	555	0.005351	1749	3.151351	1724	98.570612	25	1.429388	73	13.153153	88	5.031447	88	5.104408	0	0.000000	0	0.000000	61	10.990991	0	0.000000
